Benchmark,BenchmarkM,Base Ref Time,32-bits native Run Time,32-bits native Ratio,32-bits qemu-i386 Run Time,32-bits qemu-i386 Ratio,64-bits qemu-i386 Run Time,64-bits qemu-i386 Ratio,64-bits native Run Time,64-bits native Ratio,64-bits qemu-x86_64 Run Time,64-bits qemu-x86_64 Ratio,32-bits qemu-x86_64 Run Time,32-bits qemu-x86_64 Ratio,ARM native Run Time,ARM native Ratio,ARM imx53 qemu-arm Run Time,ARM imx53 qemu-arm Ratio,ARM node10 32-bits qemu-arm Run Time,ARM node10 32-bits qemu-arm Ratio,ARM node10 64-bits qemu-arm Run Time,ARM node10 64-bits qemu-arm Ratio,32-bits dynamorio Run Time,32-bits dynamorio Ratio,64-bits dynamorio Run Time,64-bits dynamorio Ratio,32-bits pin Run Time,32-bits pin Ratio,64-bits pin Run Time,64-bits pin Ratio
410.bwaves,410.bwaves,13590,552.588949,24.593326,38913.33,0.35,28608.02,0.48,749.577016,18.130225,21131.48,0.64,44685.6,0.3,30800,0.441,269691.584123,0.050391,40496.868785,0.335582,21084.515139,0.644549,559.041691,24.309457,754.49709,18.011998,599.281307,22.677163,782.538124,17.366566
416.gamess,416.gamess,19580,1129.620229,17.333259,82245.39,0.24,57239.08,0.34,962.095436,20.351411,30912.82,0.63,63457.95,0.31,24300,0.804,499581.300818,0.039193,62965.677862,0.310963,32042.9575,0.611055,1152.848384,16.98402,1045.482207,18.7282,1367.596709,14.317086,1136.960151,17.22136
433.milc,433.milc,9180,526.034781,17.451318,33210.6,0.28,23688.21,0.39,491.62568,18.672743,13497.58,0.68,25795.42,0.36,9930,0.925,162768.971061,0.056399,24154.631937,0.380051,12171.272158,0.754235,533.326639,17.212716,508.274332,18.061113,556.769245,16.48798,512.705892,17.905002
434.zeusmp,434.zeusmp,9100,685.067395,13.283365,45188.87,0.2,31792.8,0.29,613.921187,14.82275,13406.4,0.68,27069.72,0.34,15300,0.594,0,0,26582.759244,0.342327,13843.585102,0.657344,680.711693,13.368362,611.149244,14.88998,746.792625,12.185444,627.274411,14.507207
435.gromacs,435.gromacs,7140,1037.142653,6.884299,71764.8,0.1,51629.49,0.14,612.284868,11.661239,22874.08,0.31,29988.82,0.24,14600,0.489,183069.822873,0.039002,26055.750273,0.274028,19979.979598,0.357358,1042.926047,6.846123,616.378005,11.583801,1067.239082,6.69016,616.001314,11.590884
436.cactusADM,436.cactusADM,11950,1389.472412,8.600387,106767.04,0.11,76641.38,0.16,870.802899,13.722968,33926.38,0.35,63978.65,0.19,32200,0.372,1026131.988942,0.011646,68283.823361,0.175005,39515.674389,0.302412,1500.890175,7.961942,890.097971,13.425488,1443.305863,8.279603,865.829892,13.801787
437.leslie3d,437.leslie3d,9400,612.717505,15.341491,41601.22,0.23,29098.35,0.32,515.177246,18.246147,12796.1,0.73,26552.68,0.35,16700,0.563,197450.302616,0.047607,27215.79323,0.345388,13890.403804,0.676726,616.808023,15.23975,427.945618,21.965408,648.90804,14.485874,440.035131,21.361931
444.namd,444.namd,8020,593.921312,13.503472,65015.86,0.12,45688.74,0.18,502.872805,15.948367,24089.48,0.33,49713.21,0.16,15700,0.51,213205.846756,0.037616,46815.965439,0.171309,23079.167596,0.3475,598.522839,13.399656,500.70418,16.017442,635.587271,12.618251,532.749851,15.053969
447.dealII,447.dealII,11440,426.403953,26.82902,18149.37,0.63,13143.83,0.87,403.376868,28.360575,7696.35,1.49,13728.94,0.83,6960,1.64,74966.47228,0.152602,12373.665865,0.924544,7735.436753,1.478908,437.285954,26.161371,466.219677,24.537789,632.740503,18.080082,536.956006,21.305284
450.soplex,450.soplex,8340,306.551519,27.205867,7437.71,1.12,5279.34,1.58,286.729532,29.086645,2812.31,2.97,0,0,7680,1.09,35598.832137,0.234277,5209.862556,1.60081,3258.133591,2.559748,317.085357,26.302066,308.999617,26.990325,371.916312,22.4244,319.269222,26.122155
