Benchmark,Native Run Time,32-bits qemu Run Time,64-bits qemu Run Time,dynamorio Run Time,pin Run Time,32-bits qemu Slowdown,64-bits qemu Slowdown,dynamorio Slowdown,pin Slowdown
410.bwaves,552.588949,38913.33,28608.02,559.041691,599.281307,70.4200293372,51.7708869346,1.0116772911,1.0844974516
416.gamess,1129.620229,82245.39,57239.08,1152.848384,1367.596709,72.8080003249,50.6710826617,1.0205628001,1.2106694568
433.milc,526.034781,33210.6,23688.21,533.326639,556.769245,63.133848178,45.0316421187,1.0138619313,1.0584266765
434.zeusmp,685.067395,45188.87,31792.8,680.711693,746.792625,65.9626634253,46.4082807502,0.9936419365,1.0901009601
435.gromacs,1037.142653,71764.8,51629.49,1042.926047,1067.239082,69.1947243635,49.7805097984,1.0055762763,1.0290186012
436.cactusADM,1389.472412,106767.04,76641.38,1500.890175,1443.305863,76.8399855067,55.158619443,1.0801870998,1.038743807
437.leslie3d,612.717505,41601.22,29098.35,616.808023,648.90804,67.896248533,47.4906457912,1.006676026,1.059065613
444.namd,593.921312,65015.86,45688.74,598.522839,635.587271,109.4688112489,76.9272613676,1.0077477048,1.0701540055
447.dealII,426.403953,18149.37,13143.83,437.285954,632.740503,42.5637939618,30.8248314949,1.0255204037,1.4838992428
450.soplex,306.551519,7437.71,5279.34,317.085357,371.916312,24.262512299,17.2217055626,1.0343623742,1.2132261266
453.povray,278.249699,14758.39,10715.8,321.025728,433.441337,53.0400933156,38.5114522622,1.1537325257,1.5577423392
454.calculix,920.356732,170509.31,117770.74,929.785327,979.501935,185.2643698596,127.9620563475,1.0102445005,1.0642633459
459.GemsFDTD,584.710606,46852.43,32381.39,591.511986,618.494991,80.1292631247,55.3801994828,1.0116320449,1.0577796685
465.tonto,719.579813,35336.1,24904.17,769.848944,888.028402,49.1065749228,34.6093227604,1.0698590067,1.2340929887
470.lbm,472.528548,56600.73,38232.58,473.881352,474.095574,119.7826676072,80.9106246846,1.0028629043,1.0033162568
481.wrf,963.487246,62300.5,46447.25,1007.84854,1096.988225,64.6614682848,48.2074362612,1.0460424299,1.1385601933
482.sphinx3,555.755188,60988.44,44253.51,579.54426,726.263753,109.7397582908,79.627704708,1.0428049481,1.3068051701
