Benchmark,BenchmarkM,32-bits native Run Time,32-bits qemu-i386 Run Time,64-bits qemu-i386 Run Time,32-bits dynamorio Run Time,32-bits pin Run Time,32-bits qemu Slowdown,64-bits qemu Slowdown,dynamorio Slowdown,pin Slowdown
400.perlbench,400.perlbench,411.877555,5028.7,4688.71,666.851205,877.511961,12.2092110603,11.3837472887,1.6190520627,2.1305165828
401.bzip2,401.bzip2,725.750217,3270.97,3263.77,747.720731,917.440639,4.5070189762,4.4970982076,1.0302728315,1.2641272679
403.gcc,403.gcc,378.943636,2354.51,2231.64,0,771.479461,6.2133514758,5.8891080044,0,2.0358686298
429.mcf,429.mcf,291.318043,821.39,803.71,293.574492,303.073756,2.8195644579,2.7588747738,1.0077456548,1.0403535355
445.gobmk,445.gobmk,540.303579,4511.54,4528.63,773.899583,955.837542,8.3500094675,8.3816398336,1.432342137,1.7690749778
456.hmmer,456.hmmer,636.148355,4094.95,4058.15,644.20965,851.446656,6.4370990946,6.3792509532,1.0126720362,1.3384403957
458.sjeng,458.sjeng,619.583,5237.68,5062.33,821.438002,1107.149621,8.4535566663,8.1705437367,1.3257917051,1.7869270477
462.libquantum,462.libquantum,613.062089,2330.49,2343.9,603.953081,697.373621,3.8013931082,3.8232669122,0.9851417855,1.1375252744
464.h264ref,464.h264ref,827.161611,7744.28,7333.76,1081.497397,3015.151338,9.3624751161,8.8661754879,1.3074801618,3.6451780376
471.omnetpp,471.omnetpp,346.109516,3323.6,2767.14,404.544819,462.674417,9.6027408851,7.9949838767,1.1688347194,1.3367861778
473.astar,473.astar,529.357638,1824.69,1799.49,531.029293,615.142253,3.4469890845,3.3993842174,1.0031578934,1.1620541744
483.xalancbmk,483.xalancbmk,276.351382,2790.85,2680.05,349.238943,469.398621,10.0989181954,9.6979793645,1.2637495802,1.6985571688
