Benchmark,Native Run Time,32-bits qemu Run Time,64-bits qemu Run Time,dynamorio Run Time,pin Run Time,32-bits qemu Slowdown,64-bits qemu Slowdown,dynamorio Slowdown,pin Slowdown
400.perlbench,424.773087,0,6348.34,754.211148,867.555033,0,14.9452500506,1.7755624617,2.0423964219
401.bzip2,591.927796,4848.25,2927.42,624.065631,684.037857,8.1906104643,4.9455694086,1.0542935054,1.1556102985
403.gcc,384.408693,3516.67,2386.16,539.447854,632.535137,9.1482582575,6.2073518197,1.4033185613,1.6454756318
429.mcf,389.11695,1221.95,964.06,389.183794,402.875611,3.1403155272,2.4775584821,1.0001717838,1.0353586782
445.gobmk,528.869402,7512.28,4733.16,815.477025,903.098416,14.2044141173,8.9495818478,1.5419251367,1.7076019384
456.hmmer,487.565007,7892.55,3803.06,493.23579,518.165922,16.1876875631,7.8001085915,1.0116308244,1.0627627384
458.sjeng,583.131831,7978.21,5667.07,852.167599,1008.811303,13.6816575187,9.718334172,1.4613635437,1.7299883995
462.libquantum,513.097743,2264.51,1346.15,502.093266,548.237502,4.4134086164,2.6235741988,0.9785528641,1.0684855069
464.h264ref,696.233138,12558.49,7678.96,973.548313,2796.948765,18.03776539,11.0292940409,1.3983079228,4.0172588927
471.omnetpp,388.075181,3406.83,2645.55,517.21463,510.826561,8.7787886647,6.8171069152,1.3327691523,1.3163082465
473.astar,485.59202,2703.44,1806.48,510.314062,559.579924,5.5673073046,3.7201599812,1.0509111373,1.1523663919
483.xalancbmk,294.701519,3993.37,2805.86,439.553443,470.644147,13.5505579121,9.5210232018,1.4915207919,1.5970197527
