Benchmark,BenchmarkM,Base Ref Time,32-bits native Run Time,32-bits native Ratio,32-bits qemu-i386 Run Time,32-bits qemu-i386 Ratio,64-bits qemu-i386 Run Time,64-bits qemu-i386 Ratio,64-bits native Run Time,64-bits native Ratio,64-bits qemu-x86_64 Run Time,64-bits qemu-x86_64 Ratio,32-bits qemu-x86_64 Run Time,32-bits qemu-x86_64 Ratio,ARM native Ratio,ARM native Run Time,ARM imx53 qemu-arm Run Time,ARM imx53 qemu-arm Ratio,ARM node10 32-bits qemu-arm Run Time,ARM node10 32-bits qemu-arm Ratio,ARM node10 64-bits qemu-arm Run Time,ARM node10 64-bits qemu-arm Ratio,32-bits dynamorio Run Time,32-bits dynamorio Ratio,64-bits dynamorio Run Time,64-bits dynamorio Ratio,32-bits pin Run Time,32-bits pin Ratio,64-bits pin Run Time,64-bits pin Ratio
400.perlbench,400.perlbench,9770,411.877555,23.720642,5028.7,1.94,4688.71,2.08,424.773087,23.000516,6348.34,1.54,0,0,2.25,4330,63675.874286,0.153433,8264.968472,1.182098,7375.735199,1.324614,666.851205,14.650945,754.211148,12.953932,877.511961,11.133751,867.555033,11.261533
401.bzip2,401.bzip2,9650,725.750217,13.296586,3270.97,2.95,3263.77,2.96,591.927796,16.302664,2927.42,3.3,4848.25,1.99,1.39,6970,34925.632068,0.276301,5525.878432,1.746329,4736.887444,2.037203,747.720731,12.905888,624.065631,15.463117,917.440639,10.518392,684.037857,14.107406
403.gcc,403.gcc,8050,378.943636,21.243265,2354.51,3.42,2231.64,3.61,384.408693,20.941254,2386.16,3.37,3516.67,2.29,1.91,4200,26546.698875,0.303239,3740.034453,2.152387,3271.579549,2.460585,0,0,539.447854,14.922666,771.479461,10.434497,632.535137,12.726566
429.mcf,429.mcf,9120,291.318043,31.305991,821.39,11.1,803.71,11.35,389.11695,23.437684,964.06,9.46,1221.95,7.46,0.0282,9999,0,0,866.752331,10.522037,778.150038,11.720105,293.574492,31.065369,389.183794,23.433658,303.073756,30.091685,402.875611,22.63726
445.gobmk,445.gobmk,10490,540.303579,19.415011,4511.54,2.33,4528.63,2.32,528.869402,19.834764,4733.16,2.22,7512.28,1.4,2.2,4760,153245.601823,0.068452,5932.922512,1.7681,5806.468053,1.806606,773.899583,13.55473,815.477025,12.863636,955.837542,10.974668,903.098416,11.615567
456.hmmer,456.hmmer,9330,636.148355,14.66639,4094.95,2.28,4058.15,2.3,487.565007,19.13591,3803.06,2.45,7892.55,1.18,1.42,6580,39615.589241,0.235513,7447.015945,1.252851,6028.614218,1.547619,644.20965,14.482863,493.23579,18.915902,851.446656,10.957821,518.165922,18.005816
458.sjeng,458.sjeng,12100,619.583,19.529264,5237.68,2.31,5062.33,2.39,583.131831,20.750025,5667.07,2.14,7978.21,1.52,2.22,5440,60304.627831,0.200648,8331.539607,1.452313,7740.431421,1.56322,821.438002,14.730266,852.167599,14.199085,1107.149621,10.928965,1008.811303,11.994314
462.libquantum,462.libquantum,20720,613.062089,33.797556,2330.49,8.89,2343.9,8.84,513.097743,40.382169,1346.15,15.39,2264.51,9.15,1.66,12500,31718.869107,0.653239,4138.032243,5.007211,3506.429997,5.909144,603.953081,34.307301,502.093266,41.267233,697.373621,29.711477,548.237502,37.793839
464.h264ref,464.h264ref,22130,827.161611,26.754143,7744.28,2.86,7333.76,3.02,696.233138,31.78533,7678.96,2.88,12558.49,1.76,0,0,0,0,0,0,0,0,1081.497397,20.46237,973.548313,22.731281,3015.151338,7.339598,2796.948765,7.912194
471.omnetpp,471.omnetpp,6250,346.109516,18.057868,3323.6,1.88,2767.14,2.26,388.075181,16.105127,2645.55,2.36,3406.83,1.83,1.17,5330,31191.36176,0.200376,3538.573099,1.766249,3175.45526,1.968222,404.544819,15.449462,517.21463,12.083958,462.674417,13.508419,510.826561,12.235072
473.astar,473.astar,7020,529.357638,13.261356,1824.69,3.85,1799.49,3.9,485.59202,14.45658,1806.48,3.89,2703.44,2.6,1.62,4320,15628.662903,0.449175,2651.528639,2.647529,2249.891409,3.120151,531.029293,13.21961,510.314062,13.756235,615.142253,11.411994,559.579924,12.545125
483.xalancbmk,483.xalancbmk,6900,276.351382,24.968212,2790.85,2.47,2680.05,2.57,294.701519,23.41352,2805.86,2.46,3993.37,1.73,1.62,4260,34930.234504,0.197537,3810.793514,1.810647,3505.976007,1.968068,349.238943,19.757247,439.553443,15.69775,469.398621,14.69966,470.644147,14.660758
