Overhead,Command,Shared Object,Symbol
26.23,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_mul
23.19,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat64
13.23,qemu-x86\_64,7f4f721a9c5d,[.] 0x007f4f721a9c5d
7.61,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] addFloat64Sigs
6.26,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] subFloat64Sigs
3.46,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_add
3.15,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulsd
2.84,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] normalizeRoundAndPackFloat64
1.36,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_sub
1.36,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_unlock
1.35,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addsd
1.35,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] cpu\_x86\_exec
1.32,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_lock
0.51,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subsd
0.49,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] countLeadingZeros64
0.34,perf\_2.6.32-46,/usr/bin/perf\_2.6.32-46,[.] 0x0000000000c325
0.24,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pxor\_xmm
0.21,perf\_2.6.32-46,[kernel],[k] schedule
0.20,perf\_2.6.32-46,[kernel],[k] poll\_schedule\_timeout
0.20,perf\_2.6.32-46,[kernel],[k] native\_write\_msr\_safe
0.19,perf\_2.6.32-46,[kernel],[k] do\_poll
0.18,perf\_2.6.32-46,[kernel],[k] perf\_poll
0.15,perf\_2.6.32-46,[kernel],[k] generic\_getxattr
0.15,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] gettimeofday
0.13,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_lock
0.11,perf\_2.6.32-46,[kernel],[k] do\_sys\_poll
0.11,perf\_2.6.32-46,[kernel],[k] update\_curr
0.11,perf\_2.6.32-46,[kernel],[k] fget\_light
0.10,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] \_\_poll
0.10,perf\_2.6.32-46,[kernel],[k] iov\_iter\_fault\_in\_readable
0.08,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_alloc
0.08,perf\_2.6.32-46,[kernel],[k] copy\_user\_generic\_string
0.08,perf\_2.6.32-46,[vdso],[.] 0x007fffe43ac7a4
0.08,perf\_2.6.32-46,[kernel],[k] cpu\_clock
0.08,perf\_2.6.32-46,[kernel],[k] thread\_return
0.08,perf\_2.6.32-46,[kernel],[.] vread\_tsc
0.07,perf\_2.6.32-46,[kernel],[k] schedule\_hrtimeout\_range
0.07,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_begin
0.07,perf\_2.6.32-46,[kernel],[k] radix\_tree\_lookup\_slot
0.07,perf\_2.6.32-46,[kernel],[k] native\_sched\_clock
0.07,perf\_2.6.32-46,[kernel],[k] file\_update\_time
0.07,perf\_2.6.32-46,[kernel],[k] ext4\_journal\_start\_sb
0.06,perf\_2.6.32-46,[kernel],[k] native\_read\_tsc
0.06,perf\_2.6.32-46,[kernel],[k] fput
0.06,perf\_2.6.32-46,[kernel],[k] \_\_generic\_file\_aio\_write
0.06,perf\_2.6.32-46,[kernel],[k] sched\_clock\_cpu
0.06,perf\_2.6.32-46,[kernel],[k] vfs\_write
0.06,perf\_2.6.32-46,[kernel],[k] remove\_wait\_queue
0.06,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_fair
0.06,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_rt
0.05,perf\_2.6.32-46,[kernel],[k] dequeue\_task\_fair
0.05,perf\_2.6.32-46,/lib/libpthread-2.11.1.so,[.] \_\_libc\_write
0.05,perf\_2.6.32-46,[kernel],[k] finish\_task\_switch
0.05,perf\_2.6.32-46,[kernel],[k] find\_get\_page
0.04,perf\_2.6.32-46,[kernel],[k] start\_this\_handle
0.04,perf\_2.6.32-46,[kernel],[k] ext4\_file\_write
0.04,perf\_2.6.32-46,[kernel],[k] \_\_block\_prepare\_write
0.04,perf\_2.6.32-46,[kernel],[k] mutex\_lock
0.04,perf\_2.6.32-46,[kernel],[k] dequeue\_entity
0.04,perf\_2.6.32-46,[kernel],[k] generic\_file\_buffered\_write
0.04,perf\_2.6.32-46,[kernel],[k] timespec\_trunc
0.04,perf\_2.6.32-46,[kernel],[k] hrtick\_start\_fair
0.04,perf\_2.6.32-46,[kernel],[k] system\_call
0.04,perf\_2.6.32-46,[kernel],[k] generic\_file\_aio\_write
0.04,perf\_2.6.32-46,[kernel],[k] \_\_block\_commit\_write
0.04,perf\_2.6.32-46,[kernel],[k] task\_of
0.03,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_get\_inode\_loc
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_lock\_irqsave
0.03,perf\_2.6.32-46,[kernel],[k] perf\_event\_task\_sched\_out
0.03,perf\_2.6.32-46,[kernel],[k] ret\_from\_sys\_call
0.03,perf\_2.6.32-46,[kernel],[k] poll\_freewait
0.03,perf\_2.6.32-46,[kernel],[k] generic\_segment\_checks
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_unlock\_irqrestore
0.03,perf\_2.6.32-46,[kernel],[k] grab\_cache\_page\_write\_begin
0.03,perf\_2.6.32-46,[kernel],[k] generic\_perform\_write
0.03,perf\_2.6.32-46,[kernel],[k] free\_poll\_entry
0.03,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_unlock
0.03,perf\_2.6.32-46,[kernel],[k] intel\_pmu\_disable\_all
0.03,perf\_2.6.32-46,[kernel],[k] put\_prev\_task\_fair
0.03,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_get
0.03,perf\_2.6.32-46,[kernel],[k] update\_context\_time
0.02,perf\_2.6.32-46,[kernel],[k] do\_sync\_write
0.02,perf\_2.6.32-46,[kernel],[k] block\_write\_begin
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_block\_get
0.02,perf\_2.6.32-46,[kernel],[k] sched\_clock
0.02,perf\_2.6.32-46,[kernel],[k] mark\_page\_accessed
0.02,perf\_2.6.32-46,[kernel],[k] dequeue\_task
0.02,perf\_2.6.32-46,[kernel],[k] up\_read
0.02,perf\_2.6.32-46,[kernel],[k] sys\_poll
0.02,perf\_2.6.32-46,[kernel],[k] down\_read
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_do\_update\_inode
0.02,perf\_2.6.32-46,[kernel],[k] system\_call\_after\_swapgs
0.02,perf\_2.6.32-46,[kernel],[k] sysret\_check
0.02,perf\_2.6.32-46,[kernel],[k] \_\_pollwait
0.02,perf\_2.6.32-46,[kernel],[k] cap\_inode\_need\_killpriv
0.02,perf\_2.6.32-46,[kernel],[k] \_\_mark\_inode\_dirty
0.02,perf\_2.6.32-46,[kernel],[k] \_spin\_lock
0.02,perf\_2.6.32-46,[kernel],[k] find\_lock\_page
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_end
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_security\_get
0.02,perf\_2.6.32-46,[kernel],[k] rw\_verify\_area
0.02,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_free
0.02,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_start
0.02,perf\_2.6.32-46,[kernel],[k] \_\_wake\_up\_bit
0.02,perf\_2.6.32-46,[kernel],[k] do\_get\_write\_access
