Overhead,Command,Shared Object,Symbol
26.70,qemu-x86\_64,8409f0,[.] 0x000000008409f0
16.29,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_mul
13.10,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat64
8.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_unlock
7.46,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] cpu\_x86\_exec
6.67,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_lock
5.15,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] addFloat64Sigs
4.08,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] subFloat64Sigs
3.56,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_add
2.57,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulsd
2.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] normalizeRoundAndPackFloat64
1.43,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addsd
0.32,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] countLeadingZeros64
0.22,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] estimateDiv128To64
0.15,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pcmpeqb\_xmm
0.10,perf\_2.6.32-46,/usr/bin/perf\_2.6.32-46,[.] 0x0000000000c1ac
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pxor\_xmm
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_sub
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_div
0.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cc\_compute\_all
0.05,perf\_2.6.32-46,[kernel],[k] poll\_schedule\_timeout
0.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_compare\_quiet
0.05,perf\_2.6.32-46,[kernel],[k] native\_write\_msr\_safe
0.05,perf\_2.6.32-46,[kernel],[k] do\_poll
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subsd
0.04,perf\_2.6.32-46,[kernel],[k] schedule
0.04,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] gettimeofday
0.04,perf\_2.6.32-46,[kernel],[k] perf\_poll
0.04,perf\_2.6.32-46,[kernel],[k] generic\_getxattr
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pmovmskb\_xmm
0.03,perf\_2.6.32-46,[vdso],[.] 0x007fff655ff7b0
0.03,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_lock
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_psubb\_xmm
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulpd
0.03,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] \_\_poll
0.03,perf\_2.6.32-46,[kernel],[k] copy\_user\_generic\_string
0.03,perf\_2.6.32-46,[kernel],[k] do\_sys\_poll
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] div64
0.02,perf\_2.6.32-46,[kernel],[k] fget\_light
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_ucomisd
0.02,perf\_2.6.32-46,[kernel],[.] vread\_tsc
0.02,perf\_2.6.32-46,[kernel],[k] iov\_iter\_fault\_in\_readable
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_divl\_EAX
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] estimateSqrt32
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addpd
0.02,perf\_2.6.32-46,[kernel],[k] update\_curr
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cc\_compute\_c
0.02,perf\_2.6.32-46,[kernel],[k] radix\_tree\_lookup\_slot
0.02,perf\_2.6.32-46,[kernel],[k] \_\_generic\_file\_aio\_write
0.02,perf\_2.6.32-46,[kernel],[k] vfs\_write
0.02,perf\_2.6.32-46,[kernel],[k] cpu\_clock
0.02,perf\_2.6.32-46,/lib/libpthread-2.11.1.so,[.] \_\_libc\_write
0.02,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_alloc
0.02,perf\_2.6.32-46,[kernel],[k] schedule\_hrtimeout\_range
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_begin
0.02,perf\_2.6.32-46,[kernel],[k] fput
