Overhead,Command,Shared Object,Symbol
24.77,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_mul
24.37,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat64
12.13,qemu-x86\_64,83d964,[.] 0x0000000083d964
8.31,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] subFloat64Sigs
4.98,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] addFloat64Sigs
4.83,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] normalizeRoundAndPackFloat64
2.96,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulpd
2.08,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_add
1.64,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_sub
1.39,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addpd
1.29,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subpd
0.92,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] countLeadingZeros64
0.83,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_unlock
0.80,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] cpu\_x86\_exec
0.69,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_lock
0.48,perf\_2.6.32-46,/usr/bin/perf\_2.6.32-46,[.] 0x0000000000c0e6
0.27,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulsd
0.25,perf\_2.6.32-46,[kernel],[k] generic\_getxattr
0.24,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] gettimeofday
0.21,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_imulq\_T0\_T1
0.18,perf\_2.6.32-46,[kernel],[k] poll\_schedule\_timeout
0.18,perf\_2.6.32-46,[kernel],[k] native\_write\_msr\_safe
0.18,perf\_2.6.32-46,[vdso],[.] 0x007fff5f30e798
0.16,perf\_2.6.32-46,[kernel],[k] perf\_poll
0.16,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] estimateDiv128To64
0.15,perf\_2.6.32-46,[kernel],[k] do\_poll
0.14,perf\_2.6.32-46,[kernel],[k] fget\_light
0.14,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] \_\_poll
0.14,perf\_2.6.32-46,[kernel],[k] schedule
0.13,perf\_2.6.32-46,[kernel],[.] vread\_tsc
0.12,perf\_2.6.32-46,[kernel],[k] \_\_generic\_file\_aio\_write
0.11,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_lock
0.11,perf\_2.6.32-46,/lib/libpthread-2.11.1.so,[.] \_\_libc\_write
0.11,perf\_2.6.32-46,[kernel],[k] do\_sys\_poll
0.10,perf\_2.6.32-46,[kernel],[k] iov\_iter\_fault\_in\_readable
0.10,perf\_2.6.32-46,[kernel],[k] vfs\_write
0.09,perf\_2.6.32-46,[kernel],[k] mutex\_lock
0.08,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addsd
0.08,perf\_2.6.32-46,[kernel],[k] ext4\_file\_write
0.08,perf\_2.6.32-46,[kernel],[k] file\_update\_time
0.08,perf\_2.6.32-46,[kernel],[k] generic\_file\_aio\_write
0.08,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_get\_inode\_loc
0.07,perf\_2.6.32-46,[kernel],[k] fput
0.07,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subsd
0.07,perf\_2.6.32-46,[kernel],[k] generic\_segment\_checks
0.07,perf\_2.6.32-46,[kernel],[k] cpu\_clock
0.06,perf\_2.6.32-46,[kernel],[k] remove\_wait\_queue
0.06,perf\_2.6.32-46,[kernel],[k] copy\_user\_generic\_string
0.06,perf\_2.6.32-46,[kernel],[k] schedule\_hrtimeout\_range
0.06,perf\_2.6.32-46,[kernel],[k] radix\_tree\_lookup\_slot
0.06,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_begin
0.06,perf\_2.6.32-46,[kernel],[k] system\_call
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_compare\_quiet
0.06,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_alloc
0.06,perf\_2.6.32-46,[kernel],[k] ext4\_journal\_start\_sb
0.06,perf\_2.6.32-46,[kernel],[k] update\_curr
0.06,perf\_2.6.32-46,[kernel],[k] \_\_block\_commit\_write
0.06,perf\_2.6.32-46,[kernel],[k] thread\_return
0.05,perf\_2.6.32-46,[kernel],[k] sched\_clock\_cpu
0.05,perf\_2.6.32-46,[kernel],[k] timespec\_trunc
0.05,perf\_2.6.32-46,[kernel],[k] native\_read\_tsc
0.05,perf\_2.6.32-46,[kernel],[k] \_\_block\_prepare\_write
0.05,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_fair
0.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_ucomisd
0.04,perf\_2.6.32-46,[kernel],[k] apparmor\_file\_permission
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat32
0.04,perf\_2.6.32-46,[kernel],[k] ext4\_do\_update\_inode
0.04,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_rt
0.04,perf\_2.6.32-46,[kernel],[k] ret\_from\_sys\_call
0.04,perf\_2.6.32-46,[kernel],[k] do\_get\_write\_access
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_punpckldq\_xmm
0.04,perf\_2.6.32-46,[kernel],[k] poll\_freewait
0.04,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_get
0.04,perf\_2.6.32-46,[kernel],[k] do\_sync\_write
0.04,perf\_2.6.32-46,[kernel],[k] generic\_file\_buffered\_write
0.04,perf\_2.6.32-46,[kernel],[k] mark\_page\_accessed
0.04,perf\_2.6.32-46,[kernel],[k] native\_sched\_clock
0.04,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_add\_journal\_head
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_punpcklqdq\_xmm
0.04,perf\_2.6.32-46,[kernel],[k] \_\_mark\_inode\_dirty
0.04,perf\_2.6.32-46,[kernel],[k] find\_get\_page
0.04,perf\_2.6.32-46,[kernel],[k] dequeue\_entity
0.04,perf\_2.6.32-46,[kernel],[k] finish\_task\_switch
0.03,perf\_2.6.32-46,[kernel],[k] start\_this\_handle
0.03,perf\_2.6.32-46,[kernel],[k] generic\_perform\_write
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_lock\_irqsave
0.03,perf\_2.6.32-46,[kernel],[k] ext4\_get\_group\_desc
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_unlock\_irqrestore
0.03,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_block\_get
0.03,perf\_2.6.32-46,[kernel],[k] should\_remove\_suid
0.03,perf\_2.6.32-46,[kernel],[k] dequeue\_task\_fair
0.03,perf\_2.6.32-46,[kernel],[k] cap\_inode\_need\_killpriv
0.03,perf\_2.6.32-46,[kernel],[k] system\_call\_after\_swapgs
0.03,perf\_2.6.32-46,[kernel],[k] down\_read
0.03,perf\_2.6.32-46,[kernel],[k] \_\_find\_get\_block
0.03,perf\_2.6.32-46,[kernel],[k] up\_read
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_to\_float64
0.03,perf\_2.6.32-46,[kernel],[k] rw\_verify\_area
0.03,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_security\_get
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_to\_float32
0.03,perf\_2.6.32-46,[kernel],[k] intel\_pmu\_disable\_all
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_div
0.03,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_unlock
0.03,perf\_2.6.32-46,[kernel],[k] grab\_cache\_page\_write\_begin
0.03,perf\_2.6.32-46,[kernel],[k] \_\_wake\_up\_bit
0.03,perf\_2.6.32-46,[kernel],[k] task\_of
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_inode\_table
0.02,perf\_2.6.32-46,[kernel],[k] file\_remove\_suid
0.02,perf\_2.6.32-46,[kernel],[k] hrtick\_start\_fair
0.02,perf\_2.6.32-46,[kernel],[k] block\_write\_begin
0.02,perf\_2.6.32-46,[kernel],[k] bit\_waitqueue
0.02,perf\_2.6.32-46,[kernel],[k] sysret\_check
0.02,perf\_2.6.32-46,[kernel],[k] perf\_event\_task\_sched\_out
0.02,perf\_2.6.32-46,[kernel],[k] update\_context\_time
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_end
0.02,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cc\_compute\_all
0.02,perf\_2.6.32-46,[kernel],[k] put\_page
0.02,perf\_2.6.32-46,[kernel],[k] mark\_buffer\_dirty
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_mark\_iloc\_dirty
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_dirty\_inode
0.02,perf\_2.6.32-46,[kernel],[k] sys\_write
0.02,perf\_2.6.32-46,[kernel],[k] security\_file\_permission
0.02,perf\_2.6.32-46,[kernel],[k] ext4\_get\_inode\_flags
0.02,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_free
0.02,perf\_2.6.32-46,[kernel],[k] free\_poll\_entry
0.02,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_stop
0.02,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_start
0.02,perf\_2.6.32-46,[kernel],[k] unlock\_page
0.02,perf\_2.6.32-46,[kernel],[k] page\_waitqueue
0.02,perf\_2.6.32-46,[kernel],[k] \_spin\_lock
0.02,perf\_2.6.32-46,[kernel],[k] put\_prev\_task\_fair
0.02,perf\_2.6.32-46,[kernel],[k] dequeue\_task
0.01,perf\_2.6.32-46,[kernel],[k] sys\_poll
0.01,perf\_2.6.32-46,[kernel],[k] find\_lock\_page
0.01,perf\_2.6.32-46,[kernel],[k] current\_fs\_time
0.01,perf\_2.6.32-46,[kernel],[k] sched\_clock
0.01,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_cancel\_revoke
0.01,perf\_2.6.32-46,[kernel],[k] iov\_iter\_copy\_from\_user\_atomic
0.01,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_put\_journal\_head
0.01,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_dirty\_metadata
0.01,perf\_2.6.32-46,[kernel],[k] generic\_write\_end
0.01,perf\_2.6.32-46,[kernel],[k] \_\_perf\_event\_sched\_in
0.01,perf\_2.6.32-46,[kernel],[k] generic\_write\_sync
0.01,perf\_2.6.32-46,[kernel],[k] \_\_brelse
0.01,perf\_2.6.32-46,[kernel],[k] current\_kernel\_time
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pxor\_xmm
0.01,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_idle
0.01,perf\_2.6.32-46,[kernel],[k] inotify\_inode\_queue\_event
0.01,perf\_2.6.32-46,[kernel],[k] balance\_dirty\_pages\_ratelimited\_nr
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cvtps2pd
0.01,perf\_2.6.32-46,[kernel],[k] \_\_pollwait
0.01,perf\_2.6.32-46,[kernel],[k] iov\_iter\_advance
0.01,perf\_2.6.32-46,[kernel],[k] hw\_perf\_disable
0.01,perf\_2.6.32-46,[kernel],[k] unlock\_buffer
0.01,perf\_2.6.32-46,[kernel],[k] intel\_pmu\_enable\_all
0.01,perf\_2.6.32-46,/usr/bin/perf\_2.6.32-46,[.] write@plt
0.01,perf\_2.6.32-46,[kernel],[k] \_\_fsnotify\_parent
0.01,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_get\_write\_access
0.01,perf\_2.6.32-46,[kernel],[k] inotify\_dentry\_parent\_queue\_event
0.01,perf\_2.6.32-46,[kernel],[k] block\_write\_end
0.01,perf\_2.6.32-46,[kernel],[k] calc\_load\_account\_active
0.01,perf\_2.6.32-46,[kernel],[k] security\_inode\_need\_killpriv
0.01,perf\_2.6.32-46,[kernel],[k] memset\_c
0.01,perf\_2.6.32-46,/lib/libpthread-2.11.1.so,[.] \_\_write\_nocancel
0.01,perf\_2.6.32-46,[kernel],[k] default\_spin\_lock\_flags
0.01,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_journal\_stop
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cc\_compute\_c
0.01,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_ibody\_get
0.01,perf\_2.6.32-46,[kernel],[k] \_\_wake\_up
0.01,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_journal\_get\_write\_access
0.01,perf\_2.6.32-46,[kernel],[k] \_\_perf\_event\_sched\_out
0.01,perf\_2.6.32-46,[kernel],[k] rcu\_sched\_qs
0.01,perf\_2.6.32-46,[kernel],[k] \_\_phys\_addr
0.01,perf\_2.6.32-46,[kernel],[k] mutex\_unlock
0.01,perf\_2.6.32-46,[kernel],[k] system\_call\_fastpath
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_divsd
0.01,perf\_2.6.32-46,[kernel],[k] deactivate\_task
