Overhead,Command,Shared Object,Symbol
26.44,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat32
19.72,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_mul
9.54,qemu-x86\_64,83ce8c,[.] 0x0000000083ce8c
7.82,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] addFloat32Sigs
7.25,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] subFloat32Sigs
3.36,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_div
3.00,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulps
2.81,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] normalizeRoundAndPackFloat32
2.48,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_add
2.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_sub
1.07,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_mulss
0.94,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addps
0.93,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subps
0.84,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] cpu\_x86\_exec
0.79,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_unlock
0.67,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] \_\_pthread\_mutex\_lock
0.54,perf\_2.6.32-46,/usr/bin/perf\_2.6.32-46,[.] 0x0000000000c20f
0.50,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addss
0.35,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_subss
0.32,perf\_2.6.32-46,[kernel],[k] generic\_getxattr
0.32,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] gettimeofday
0.21,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_compare\_quiet
0.18,perf\_2.6.32-46,[kernel],[k] poll\_schedule\_timeout
0.17,perf\_2.6.32-46,[kernel],[k] native\_write\_msr\_safe
0.17,perf\_2.6.32-46,[kernel],[k] perf\_poll
0.17,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_ucomiss
0.16,perf\_2.6.32-46,[kernel],[.] vread\_tsc
0.15,perf\_2.6.32-46,[vdso],[.] 0x007fffa7644790
0.15,perf\_2.6.32-46,[kernel],[k] do\_poll
0.14,perf\_2.6.32-46,[kernel],[k] \_\_generic\_file\_aio\_write
0.14,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_cc\_compute\_all
0.14,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_divps
0.13,perf\_2.6.32-46,[kernel],[k] iov\_iter\_fault\_in\_readable
0.13,perf\_2.6.32-46,/lib/libpthread-2.11.1.so,[.] \_\_libc\_write
0.13,perf\_2.6.32-46,[kernel],[k] mutex\_lock
0.13,perf\_2.6.32-46,/lib/libc-2.11.1.so,[.] \_\_poll
0.13,perf\_2.6.32-46,[kernel],[k] \_\_ticket\_spin\_lock
0.12,perf\_2.6.32-46,[kernel],[k] do\_sys\_poll
0.12,perf\_2.6.32-46,[kernel],[k] schedule
0.12,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] roundAndPackFloat64
0.11,perf\_2.6.32-46,[kernel],[k] ext4\_file\_write
0.11,perf\_2.6.32-46,[kernel],[k] fget\_light
0.11,perf\_2.6.32-46,[kernel],[k] vfs\_write
0.11,perf\_2.6.32-46,[kernel],[k] file\_update\_time
0.10,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float64\_mul
0.10,perf\_2.6.32-46,[kernel],[k] generic\_file\_aio\_write
0.09,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_divss
0.09,perf\_2.6.32-46,[kernel],[k] generic\_segment\_checks
0.09,perf\_2.6.32-46,[kernel],[k] kmem\_cache\_alloc
0.08,perf\_2.6.32-46,[kernel],[k] ext4\_da\_write\_begin
0.08,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pand\_xmm
0.08,perf\_2.6.32-46,[kernel],[k] \_\_ext4\_get\_inode\_loc
0.08,perf\_2.6.32-46,[kernel],[k] fput
0.08,perf\_2.6.32-46,[kernel],[k] apparmor\_file\_permission
0.07,perf\_2.6.32-46,[kernel],[k] system\_call
0.07,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_pxor\_xmm
0.07,perf\_2.6.32-46,[kernel],[k] remove\_wait\_queue
0.07,perf\_2.6.32-46,[kernel],[k] radix\_tree\_lookup\_slot
0.06,perf\_2.6.32-46,[kernel],[k] copy\_user\_generic\_string
0.06,perf\_2.6.32-46,[kernel],[k] cpu\_clock
0.06,perf\_2.6.32-46,[kernel],[k] \_\_block\_commit\_write
0.06,perf\_2.6.32-46,[kernel],[k] timespec\_trunc
0.06,perf\_2.6.32-46,[kernel],[k] schedule\_hrtimeout\_range
0.06,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] subFloat64Sigs
0.06,perf\_2.6.32-46,[kernel],[k] ext4\_journal\_start\_sb
0.06,perf\_2.6.32-46,[kernel],[k] ext4\_do\_update\_inode
0.05,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_movl\_mm\_T0\_xmm
0.05,perf\_2.6.32-46,[kernel],[k] \_\_block\_prepare\_write
0.05,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_get
0.05,perf\_2.6.32-46,[kernel],[k] generic\_file\_buffered\_write
0.05,perf\_2.6.32-46,[kernel],[k] update\_curr
0.05,perf\_2.6.32-46,[kernel],[k] thread\_return
0.05,perf\_2.6.32-46,[kernel],[k] do\_sync\_write
0.05,perf\_2.6.32-46,[kernel],[k] ret\_from\_sys\_call
0.04,perf\_2.6.32-46,[kernel],[k] do\_get\_write\_access
0.04,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_block\_get
0.04,perf\_2.6.32-46,[kernel],[k] find\_get\_page
0.04,perf\_2.6.32-46,[kernel],[k] generic\_perform\_write
0.04,perf\_2.6.32-46,[kernel],[k] start\_this\_handle
0.04,perf\_2.6.32-46,[kernel],[k] jbd2\_journal\_add\_journal\_head
0.04,perf\_2.6.32-46,[kernel],[k] cap\_inode\_need\_killpriv
0.04,perf\_2.6.32-46,[kernel],[k] poll\_freewait
0.04,perf\_2.6.32-46,[kernel],[k] down\_read
0.04,perf\_2.6.32-46,[kernel],[k] native\_read\_tsc
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_por\_xmm
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_punpckldq\_xmm
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] estimateSqrt32
0.04,perf\_2.6.32-46,[kernel],[k] bit\_waitqueue
0.04,perf\_2.6.32-46,[kernel],[k] ext4\_get\_group\_desc
0.04,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_fair
0.04,perf\_2.6.32-46,[kernel],[k] sched\_clock\_cpu
0.04,perf\_2.6.32-46,[kernel],[k] native\_sched\_clock
0.04,perf\_2.6.32-46,[kernel],[k] up\_read
0.04,perf\_2.6.32-46,[kernel],[k] \_\_mark\_inode\_dirty
0.04,perf\_2.6.32-46,[kernel],[k] pick\_next\_task\_rt
0.04,perf\_2.6.32-46,[kernel],[k] system\_call\_after\_swapgs
0.04,perf\_2.6.32-46,[kernel],[k] finish\_task\_switch
0.04,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] float32\_lt
0.04,perf\_2.6.32-46,[kernel],[k] grab\_cache\_page\_write\_begin
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_unlock\_irqrestore
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_shufps
0.03,perf\_2.6.32-46,[kernel],[k] \_spin\_lock\_irqsave
0.03,perf\_2.6.32-46,[kernel],[k] ext4\_xattr\_security\_get
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] normalizeRoundAndPackFloat64
0.03,perf\_2.6.32-46,[kernel],[k] \_\_find\_get\_block
0.03,perf\_2.6.32-46,[kernel],[k] sysret\_check
0.03,perf\_2.6.32-46,[kernel],[k] mark\_page\_accessed
