Benchmark,Native Run Time,qemu32 Run Time,qemu64 Run Time,dynamorio32 Run Time,dynamorio64 Run Time,qemu32 Slowdown,qemu64 Slowdown,dynamorio32 Slowdown,dynamorio64 Slowdown
410.bwaves,551.77,38913.33,28608.02,0,0,70.52,51.85,0,0
416.gamess,1130.2,82245.39,57239.08,0,0,72.77,50.64,0,0
433.milc,523.76,33210.6,23688.21,0,0,63.41,45.23,0,0
434.zeusmp,683.22,45188.87,31792.8,0,0,66.14,46.53,0,0
435.gromacs,1037.83,71764.8,51629.49,0,0,69.15,49.75,0,0
436.cactusADM,1388.49,106767.04,76641.38,0,0,76.89,55.2,0,0
437.leslie3d,679.21,41601.22,29098.35,0,0,61.25,42.84,0,0
444.namd,593.25,65015.86,45688.74,0,0,109.59,77.01,0,0
447.dealII,426.15,18149.37,13143.83,0,0,42.59,30.84,0,0
450.soplex,306.08,7437.71,5279.34,0,0,24.3,17.25,0,0
453.povray,278.07,14758.39,10715.8,0,0,53.07,38.54,0,0
454.calculix,919.54,170509.31,117770.74,0,0,185.43,128.08,0,0
459.GemsFDTD,582.84,46852.43,32381.39,0,0,80.39,55.56,0,0
465.tonto,719.9,35336.1,24904.17,0,0,49.08,34.59,0,0
470.lbm,470.31,56600.73,38232.58,0,0,120.35,81.29,0,0
481.wrf,961.25,62300.5,46447.25,0,0,64.81,48.32,0,0
482.sphinx3,556.59,60988.44,44253.51,0,0,109.58,79.51,0,0
